crop_type,Districts,mean,std,count
Barley,Saptari,1291.5,412.2432534317572,2
Barley,Sarlahi,1100.9142571538462,134.16372266325823,13
Barley,Sindhuli,1531.9952516923076,124.30439494417274,13
Barley,Sindhupalchok,1068.491755153846,98.45025503288794,13
Barley,Siraha,1258.0,82.02438661763951,2
Barley,Solukhumbu,1063.895713909091,73.91419092350483,11
Barley,Sunsari,1906.2910052857144,252.1564039365268,7
Barley,Surkhet,1455.2970923846153,139.47819102702624,13
Barley,Syangja,1153.3589743846153,314.51560236509926,13
Barley,Tanahu,1014.2543510769231,107.25504718868781,13
Barley,Taplejung,1350.6261373076923,122.55798799846454,13
Barley,Terhathum,1144.2507122307693,142.86878585177814,13
Barley,Udayapur,1312.4639804615385,358.847548633529,13
Buckwheat,Achham,889.3333333333334,177.50868523352128,3
Buckwheat,Arghakhanchi,964.1254418923077,132.4841442038323,13
Buckwheat,Baglung,1350.840789076923,167.33834188314705,13
Buckwheat,Baitadi,1262.3333333333333,588.2706293308662,3
Buckwheat,Bajhang,995.0425465833333,288.5627290552502,12
Buckwheat,Bajura,1461.9457776153845,300.74888819418356,13
Buckwheat,Banke,1375.0,,1
Buckwheat,Bara,3093.0,,1
Buckwheat,Bardiya,1500.0,,1
Buckwheat,Bhaktapur,1250.0,,1
Buckwheat,Bhojpur,816.0842021307692,122.27564357631252,13
Buckwheat,Chitwan,1047.7142857142858,110.6205440318604,7
Buckwheat,Dadeldhura,1065.0,489.8683496614167,3
Buckwheat,Dailekh,896.1052939166666,146.2340500283933,12
Buckwheat,Dang,1093.7745925,180.20705893828236,8
Buckwheat,Darchula,909.245903076923,107.34582076107475,13
Buckwheat,Dhading,964.0,102.83968105745953,3
Buckwheat,Dhankuta,890.9196739500001,320.92669650786553,8
Buckwheat,Dhanusha,3026.0,,1
Buckwheat,Dolakha,1026.0474095833333,126.07577412098219,12
Buckwheat,Dolpa,1020.4285714285714,184.2795495462054,7
Buckwheat,Doti,1011.6247735833334,267.5425916403553,12
Buckwheat,Gorkha,1104.8610892307693,165.4290837709325,13
Buckwheat,Gulmi,1358.3117511538462,305.4040977390966,13
Buckwheat,Humla,866.0,68.0,4
Buckwheat,Illam,1175.5995342857143,218.66188020819928,7
Buckwheat,Jajarkot,1148.48126625,186.99207255944575,12
Buckwheat,Jhapa,1215.1086752307692,322.43043165150397,13
Buckwheat,Jumla,964.2550539999999,137.17468037464585,9
Buckwheat,Kailali,1247.0143354285715,151.7179065630189,7
Buckwheat,Kalikot,1226.9160652727273,225.1182000119556,11
Buckwheat,Kanchanpur,1250.0,,1
Buckwheat,Kapilbastu,986.0,49.1121166312347,3
Buckwheat,Kaski,1097.5777353076924,147.22869488468658,13
Buckwheat,Kathmandu,1047.654249090909,100.30218352858783,11
Buckwheat,Kavre,1017.2619076916667,102.1207185173695,12
Buckwheat,Khotang,854.1273463153847,247.63338900074146,13
Buckwheat,Lalitpur,919.0594004166666,175.04706301970077,12
Buckwheat,Lamjung,925.7628428384616,73.76499460245692,13
Buckwheat,Makwanpur,1048.196825,136.03444707823627,13
Buckwheat,Manang,1771.6542883333334,211.62015924452388,12
Buckwheat,Morang,1060.8678607499999,81.05409651536525,12
Buckwheat,Mugu,1070.0,192.70270712507738,7
Buckwheat,Mustang,1721.651515,125.2175196142214,13
Buckwheat,Myagdi,1024.8195628,224.24299810943222,12
Buckwheat,Nawalparasi,1355.814910846154,768.3407115059266,13
Buckwheat,Nuwakot,1066.1931435833333,83.38745370671198,12
Buckwheat,Okhaldhunga,923.896476376923,70.6499029352503,13
Buckwheat,Palpa,976.6551070692308,100.02433409919823,13
Buckwheat,Panchthar,737.8807583083334,114.29713503754395,12
Buckwheat,Parbat,1021.2086773076923,139.64666155757905,13
Buckwheat,Pyuthan,1094.5163949999999,214.83551745062908,12
Buckwheat,Ramechap,985.3228261538461,59.13545863044348,13
Buckwheat,Rasuwa,884.0,36.373066958946424,3
Buckwheat,Rautahat,3250.0,,1
